Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Suharni Mohamad, Norhaida Che Azmi, and Rahmah Noordin"	"Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)"	"J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09"	91	10.1128/JCM.00001-09	2009	JCM	1			1	2 adjacent lanes in same panel look very similar when one is stretched (multiplecases)	1				1	1
"Adis Tasanarong, Supranee Kongkham, and Sookkasem Khositseth"	Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction	"BioMed Research International - Volume 2013, Article ID 308130 "	92	10.1155/2013/308130	2013				1		Overlapping microscopy images	1	3/19/2017		1		1
"Anahita Rahmani, Danial Kheradmand, Peyman Keyhanvar, Alireza Shoae-Hassani, and Amir Darbandi-Azar"	Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells	"BioMed Research International, Volume 2013, Article ID 582526"	93	10.1155/2013/582526	2013				1	Paul Higgins	Rotated microscopy images	1	02/01/2015		1		1
"Gurbet Celik, Asli Semiz, Serdar Karakurt, Sevki Arslan, Orhan Adali, and Alaattin Sen"	A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat	"BioMed Research International Volume 2013, Article ID 358945"	94	10.1155/2013/358945	2013			1			Multiple cases of reused blot panels	1	12/01/2014		1		1
"Young-Man Lee, Q-Schick Auh, Deok-Won Lee, Jun-Yeol Kim, Ha-Jin Jung, Seung-Ho Lee, and Eun-Cheol Kim"	Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells	"BioMed Research International Volume 2013, Article ID 210604"	95	10.1155/2013/210604	2013		1	1		George Perry	"Several cuts, reused blot panel"	1	07/01/2014		1		1
"Chih-Zen Chang, Shu-Chuan Wu, and Aij-Lie Kwan"	"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm"	"BioMed Research International, Volume 2014, Article ID 272101"	96	10.1155/2014/272101	2014				1		"Two sets of duplicated blot panels, one rotated"	1	01/12/2016		1		1
"Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-González, and Rossana Arroyoi"	__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism	"BioMed Research International Volume 2014, Article ID 424767"	97	10.1155/2014/424767	2014			1			Multiple cases of reused blot strips	1	5/23/2016		1		1
"Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang"	Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells	"BioMed Research International, Volume 2014, Article ID 164391"	98	10.1155/2014/164391	2014				1		Shifted actin blot panels	1	12/05/2016	1			1
"Silvana Lorena Della Penna, Gabriel Cao, Andrea Carranza, Elsa Zotta, Susana Gorzalczany, Carolina Susana Cerrudo, Natalia Luci_a Rukavina Mikusic, Alicia Correa, Verónica Trida, Jorge Eduardo Toblli, María Inés Rosón, and Belisario Enrique Fernándezlypep"	Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet	"BioMed Research International, Volume 2014, Article ID 936978"	99	10.1155/2014/936978	2014			1			"Duplicated microscopy images, and other panels taken from previous paper"	1	09/01/2014		1		1
"Mao-Lin Ho, Yih-Shou Hsieh, Jia-Yuh Chen, Kuo-Shuen Chen, Jia-Jing Chen, Wu-Hsien Kuo, Shu-Jiuan Lin, and Pei-Ni Chen"	Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo	"Evidence-Based Complementary, and Alternative Medicine, Volume 2011, Article ID 507920"	100	10.1155/2011/507920	2011				1		Two sets of rotated microscopy images	1	11/11/2015		1		1
"Chao-Bin Yeh, Ming-Ju Hsieh, Yih-Shou Hsieh, Ming-Hsien Chien, Pen-Yuan Lin, Hui-Ling Chiou, and Shun-Fa Yang"	Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity	"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292"	101	10.1155/2012/595292	2012				1		overlapping microscopy images	1	11/15/2015		1		1
"Ying-Yi Chen, Fon-Chang Liu, Pei-Yu Chou, Yi-Chung Chien, Wun-Shaing Wayne Chang, Guang-Jhong Huang, Chieh-Hsi Wu, and Ming-Jyh Sheu"	"Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways"	"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415"	102	10.1155/2012/378415	2012			1			Duplicated 0h microscopy images	1	12/02/2012		1		1
"Chih-Yu Peng, Hui-Wen Yang, Yin-Hung Chu, Yu-Chao Chang, Ming-Ju Hsieh, Ming-Yung Chou, Kun-Tu Yeh, Yueh-Min Lin, Shun-Fa Yang, and Chiao-Wen Lin"	Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway	"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 732578"	103	10.1155/2012/732578	2012			1			Duplicated microscopy panels	1	01/06/2016		1		1
"Chiung-Chyi Shen, Yi-Chin Yang, Ming-Tsang Chiao, Shiuh-Chuan Chan, and Bai-Shuan Liu"	Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats	"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906"	104	10.1155/2013/594906	2013				1		shifted GAPDH panels	1	12/10/2015		1		1
"Li Li, Ji-kun Du, Li-yi Zou, Tie Wu, Yong-woo Lee, and Yong-ho Kim"	Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK	"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245"	105	10.1155/2013/467245	2013		1		1		Multiple cases of shifted or rotated blot panels	1	09/03/2014		1		1
"Nabilatul Hani Mohd-Radzman, Wan Iryani Wan Ismail, Siti Safura Jaapar, Zainah Adam, and Aishah Adam"	Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes	"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 938081"	106	10.1155/2013/938081	2013					1	Same band seen twice in one blot strip	1	6/21/2016		1		1
"Zhiqiang Wang, Baofang Jin, Xindong Zhang, Yugui Cui, Dalin Sun, and Chao Gao"	Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells	"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857"	107	10.1155/2014/640857	2014					1	Possibly manipulated FACS images	1	11/09/2015		1		1
"Ya-min Zhang, Hong Xu, Hua Sun, Su-hui Chen, and Fu-ming Wang"	Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury	"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340"	108	10.1155/2014/989340	2014				1		overlapping microscopy images	1	11/11/2015		1		1
"Lilian Amrein, May Shawi, Jeremy Grenier, Raquel Aloyz, and Lawrence Panasci"	The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro	"Int. J. Cancer: 133, 247–252 (2013)"	109	10.1002/ijc.27989	2013			1			Duplicated control blot panel	1	08/07/2015		1		1
"Gong Yang, Imelda Mercado-Uribe, Asha S. Multani, Subrata Sen, Ie-Ming Shih, Kwong-Kwok Wong, David M. Gershenson, and Jinsong Liu"	RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis	"Int. J. Cancer: 133, 275–286 (2013) "	110	10.1002/ijc.28032	2013				1		Overlapping microscopy images	1	07/01/2015		1		1
"Sujit K. Bhutia, Swadesh K. Das, Belal Azab, Mitchell E. Menezes, Paul Dent, Xiang-Yang Wang, Devanand Sarkar, and Paul B. Fisher"	Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24	"Int. J. Cancer: 133, 2726–2736 (2013)"	111	10.1002/ijc.28289	2013				1		Overlapping microscopy images	1	4/15/2016		1		1
"Upal K. Basu Roy, Rebecca S. Henkhaus, Fotios Loupakis, Chiara Cremolini, Eugene W. Gerner, and Natalia A. Ignatenko"	Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis	"Int. J. Cancer: 133, 43–58 (2013) "	112	10.1002/ijc.28001	2013				1		"Reused blot, shifted, other protein"	1	08/07/2015		1		1
"Teresa Lorenzi, Maria Lorenzi, Emma Altobelli, Daniela Marzioni, Emanuela Mensa__, Alexia Quaranta, Francesca Paolinelli, Manrico Morroni, Roberta Mazzucchelli, Antonio De Luca, Antonio Domenico Procopio, Alfonso Baldi, Giovanni Muzzonigro, Rodolfo Montironi, and Mario Castellucci"	HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker	"Int. J. Cancer: 133, 2650–2661 (2013)"	113	10.1002/ijc.28280	2013					1	"Reused lanes, possibly duplicated lanes"	1	08/07/2015		1		1
