Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo"	Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway	"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137"	31	10.1371/journal.pone.0099137	2014	06-Jun			1		"Duplicated, and stretched microscopy images, multiple cases"	1	12/02/2014		1		1
"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang"	Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF	"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448"	32	10.1371/journal.pone.0098448	2014	06-Jun			1		Overlapping microscopy images	1	08/07/2015		1		1
"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash"	Aspirin Delimits Platelet Life Span by Proteasomal Inhibition	"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049"	33	10.1371/journal.pone.0105049	2014	08-Aug				1	Duplicated set of lanes within the same panel	1	12/12/2014		1		1
"Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh"	S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression	"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868"	34	10.1371/journal.pone.0103868	2014	08-Aug		1			Duplicated microscopy panels	1	11/18/2014		1		1
"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen"	The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration	"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847"	35	10.1371/journal.pbio.1001847	2014	04-Apr		1			duplicated microscopy panels	1	5/28/2015		1		1
"Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhäll, Irene SöderhällGab"	Astakine 2—the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans	"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361"	36	10.1371/journal.pgen.1003361	2013	03-Mar				1	"multiple cases of shifted blots, duplicated bands within blots"	1	4/27/2015	1			1
"Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays"	Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes	"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094"	37	10.1371/journal.pgen.1003094	2013	01-Jan		1			duplicated microscopy panels	1	11/19/2015		1		1
"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee"	Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues	"PLOS Genetics, January 23, 2014DOI: 10.1371"	38	10.1371/journal.pgen.1004121	2014	01-Jan		1			duplicated western blot panels	1	06/03/2014		1		1
"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez"	Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity	"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480"	39	10.1371/journal.pgen.1004480	2014	07-Jul		1			duplicated microscopy panels	1	10/17/2014		1		1
"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie"	X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis	"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576"	40	10.1371/journal.ppat.1003576	2013	08-Aug		1			Duplicated microscopy panels	1	5/19/2016		1		1
