Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Laurent Guillon, Maher El Mecherki, Stephan Altenburger, Peter L. Graumann, and Isabelle J. Schalk"	High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274	"Environmental Microbiology (2012) 14(8), 1982–1994"	121	10.1111/j.1462-2920.2012.02741.x	2012			1			Duplicated set of images - most likely an error	1	2/23/2016		1		1
"Lei-Chin Chen, Jung-Chi Chen, Jwu-Ching Shu, Chien-Yen Chen, Ssu-Ching Chen, Shu-Hwa Chen, Chun-Yen Lin, Chi-Yu Lu, and Chien-Cheng Chen"	Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse	"Environmental Microbiology (2012) 14(10), 2788–2799"	122	10.1111/j.1462-2920.2012.02788.x	2012			1			Multiple cases of duplicated blot panels	1	2/23/2016		1		1
"Isao Hara, Noriyuki Sato, Hideaki Miyake, Mototsugu Muramaki, Satoko Hikosaka, and Sadao Kamidono"	Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy	"Microbiol. Immunol., 48(4), 289–295, 2004"	123	10.1111/j.1348-0421.2004.tb03525.x	2004			1			"Duplicated blot strips, two cases"	1				1	1
"Noritoshi Kitamoto, Takayuki Kobayashi, Yoji Kato, Nobutaka Wakamiya, Kazuyoshi Ikuta, Tomoyuki Tanaka, Shigeharu Ueda, Hiroyuki Miyamoto, and Shiro Kato"	Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test	"Microbiol. Immunol., 49(3), 219–225, 2005"	124	10.1111/j.1348-0421.2005.tb03723.x	2005					1	"Possible patches in microscopy, possible duplicated lanes"	1			1		1
"Kotla Siva Reddy, Dowlathabad. Muralidhar Rao, Hosur Joyappa Dechamma, Veluvarthy V.S. Suryanarayana, and Golla Ramalinga Reddy"	Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity	Microbiol Immunol 2010; 54: 564–567	125	10.1111/j.1348-0421.2010.00241.x	2010					1	Marker bands all identical?	1				1	1
"H. Liu, D. Gu, L. Sheng, Q. Wang, and Y. Zhang"	"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids"	"Letters in Applied Microbiology 55, 73–81, 2012"	126	10.1111/j.1472-765X.2012.03263.x	2012					1	duplicated blot panel	1				1	1
"Sandrine Koechler, Jessica Cleiss-Arnold, Caroline Proux, Odile Sismeiro, Marie-Agne_s Dillies, Florence Goulhen-Chollet, Florence Hommais, Didier Lièvremont, Florence Arsène-Ploetze, Jean-Yves Coppée, Philippe N Bertin Gi"	Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans	BMC Microbiology 2010	127	10.1186/1471-2180-10-53	2010			1			"Duplicated blot strips, multiple cases"	1	3/28/2017		1		1
"Scarlett R Holdsworth, and Christopher J Law"	Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli	"BMC Microbiology 2013, 13:113"	128	10.1186/1471-2180-13-113	2013				1		Overlapping images of colony panels	1	04/12/2017		1		1
"Daniel C Kraushaar, Wenfei Jin, Alika Maunakea, Brian Abraham, Misook Ha, and Keji Zhao"	Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3	"Genome Biology 2013, 14:R121"	129	10.1186/gb-2013-14-10-r121	2013			1			duplicated microscopy panel; might be error	1			1		1
"Arumugam Nagalingam, Jack L Arbiser, Michael Y Bonner, Neeraj K Saxena, and Dipali Sharma"	Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis	"Breast Cancer Research 2012, 14:R35"	130	10.1186/bcr3128	2012			1			Duplicated microscopy images	1	3/28/2017		1		1
