Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Sawsan I. Kreydiyyeh, Christina Abou-Chahine, Randa Hilal-Dandan "	Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes	Cytokine 26 (2004) 1-8	151	10.1016/j.cyto.2003.11.014	2004			1			Duplicated blot	1				1	1
"Ji-Yong Zhou, Ji-Gang Chen, Jin-Yong Wang, Jian-Xiang Wu, Hui Gong"	cDNA cloning and functional analysis of goose interleukin-2 	Cytokine 30 (2005) 328-338	152	10.1016/j.cyto.2004.12.015	2005				1		Overlapping microscopy	1				1	1
"Sarine Markossian, Sawsan Ibrahim Kreydiyyeh"	TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2	Cytokine 30 (2005) 319-327	153	10.1016/j.cyto.2004.11.009	2005					1	"Duplicated bands within blot strips, multiple cases"	1				1	1
"Hwa-Jeong Lee, Jin-Woo Cho, Sang-Cheol Kim, Kyung-Hwa Kang, Sun-Kyung Lee, Sung-Hee Pi, Suk-Keun Lee, Eun-Cheol Kim"	Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells	Cytokine 35 (2006) 67–76	154	10.1016/j.cyto.2006.07.009	2006					1	"Duplicated lanes within blots, many many case"	1				1	1
"Maria de Lujan Alvarez, Ariel D. Quiroga, Marıa Teresa Ronco, Juan Pablo Parody, J. Elena Ochoa, Juan A. Monti, Cristina E. Carnovale, Marıa Cristina Carrillo "	Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers	Cytokine 36 (2006) 245–253	155	10.1016/j.cyto.2007.01.002	2006				1		Mirrored blot	1				1	1
"Marilena Galdiero, Mariateresa Vitiello, Marina D’Isanto, Katia Raieta, Emilia Galdiero"	STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6	Cytokine 36 (2006) 218–228	156	10.1016/j.cyto.2006.12.003	2006			1			Multiple cases of duplicated blots	1				1	1
"Sawsan Ibrahim Kreydiyyeh, Sarine Markossian "	Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla	Cytokine 33 (2006) 138e144	157	10.1016/j.cyto.2005.12.007	2006			1			Multiple cases of duplicated blots	1				1	1
"Deok-Ho Song, Ji-Houn Kang, Geun-Shik Lee, Eui-Bae Jeung, Mhan-Pyo Yang "	Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway	Cytokine 37 (2007) 227–235	158	10.1016/j.cyto.2007.04.003	2007				1		"Duplicated gel, differently cut"	1				1	1
"Chung-Hsi Hsing, Hsing-Hui Li, Yu-Hsiang Hsu, Chung-Liang Ho, Shih-Sung Chuang, Kuo-Mao Lan, Ming-Shi Chang"	The distribution of interleukin-19 in healthy and neoplastic tissue	Cytokine 44 (2008) 221–228	159	10.1016/j.cyto.2008.06.007	2008				1		"Duplicated blot panel, stretched"	1				1	1
"M. Hyzd’alová, J. Hofmanová, J. Pacherník, A. Vaculová, A. KozubíkeSung"	The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation	Cytokine 44 (2008) 33–43	160	10.1016/j.cyto.2008.06.003	2008			1			Duplicated blot panel	1				1	1
